"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","retirement saving calculator page: Calculate retirement needs without social security income","4","0","","0"
"0","","0","google page login: Calculate retirement needs with negative values","9","1","","0"
"0","","0","The Internet Guinea Pig Website: As a user, I can log into the secure area","5","0","","0"
"4","","1","retirement saving calculator page: Calculate retirement needs with data sheet values","10","1","","0"
"1","","0","google page login: Calculate retirement needs with positive values","11","0","","0"
"0","","10","","0","0","","0"
"0","","0","retirement saving calculator page: Calculate retirement needs single maritial status people","6","0","","0"
"0","","0","retirement saving calculator page: Calculate retirement needs without maritial status and social security income","4","0","","0"
"0","","0","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","6","0","","0"
"2","","0","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","5","0","","0"
"0","","0","retirement saving calculator page: Calculate retirement needs single maritial status pepole","6","0","","0"
